knob,knob_value,f_mod_hz,rc,mh_mean_V,mh_pkpk_V,mh_std_V,drop_mean_A,drop_pkpk_A,energy_mean
dither_amp_v,0.024,1000,0,0.7434953090122769,0.005639648437499978,0.0013344336474755644,1.3051253046480362e-05,5.8885021157442775e-06,209961.2619047619
dither_amp_v,0.006,50,0,0.7387349227850583,0.0028198242187499334,0.0006454245618735548,1.6307127591404346e-05,4.364549296330036e-06,16305.149342891278
settling_us,100,25,0,0.7388462830501905,0.003424072265625022,0.0006505780708423854,1.623287954465097e-05,5.200816391957286e-06,255205.6993424985
dither_amp_v,0.024,2000,0,0.7317076764787946,0.007855224609375044,0.0023844539279425855,2.0843930106038097e-05,7.4753836157448715e-06,104632.79047619048
dither_amp_v,0.024,5000,0,0.7412183489118304,0.007855224609374933,0.0021559571025920477,1.464078225534247e-05,7.0730082644293426e-06,240764.1761904762
dither_amp_v,0.024,100,0,0.7389433139263872,0.005236816406249956,0.0009083549030623619,1.6153715551361828e-05,4.426205061519151e-06,253421.7446300716
dither_amp_v,0.048,200,0,0.7387783377511161,0.008056640625,0.00201612517331272,1.6277877517383675e-05,7.708055214841359e-06,971983.2523809524
dither_amp_v,0.048,500,0,0.7398698207310268,0.006445312500000022,0.001736753022020356,1.5574409896349522e-05,7.0278693210578025e-06,991326.5761904762
dither_amp_v,0.048,2000,0,0.7335875592912947,0.005639648437499978,0.0012783538324615679,1.9956464746837592e-05,6.704456247256689e-06,662662.5714285715
dither_amp_v,0.048,1000,0,0.7340249197823662,0.0040283203125,0.0009982747346070169,1.9702421633028718e-05,5.8247352789174305e-06,721534.0190476191
dither_amp_v,0.012,50,0,0.7386189341117833,0.003021240234375,0.0005160076532454577,1.6393170352504852e-05,4.213171074147785e-06,64403.30943847073
dither_amp_v,0.048,5000,0,0.7409133475167412,0.004229736328124956,0.001481416750209398,1.4814291928765625e-05,5.186941951413146e-06,968577.9761904762
dither_amp_v,0.048,100,0,0.7387221889450328,0.006243896484374956,0.0012156087019691553,1.632938766072532e-05,5.542034177676611e-06,1005032.0238663484
dither_amp_v,0.024,50,0,0.7385833193324373,0.0028198242187500444,0.0005031365531689924,1.641638202325129e-05,4.048440585070471e-06,255382.3679808841
dither_amp_v,0.006,25,0,0.7384617506210774,0.0038269042968750444,0.0006939403010909938,1.6508469060988484e-05,4.837483540624421e-06,16303.800358637178
dither_amp_v,0.048,50,0,0.7387142277105736,0.003625488281250089,0.0005519880624711761,1.632457651818392e-05,4.440368644323226e-06,1018292.43130227
dither_amp_v,0.012,25,0,0.7388438752078041,0.004833984374999933,0.0007073133220722444,1.623077244525422e-05,5.2904120182396014e-06,64296.604901374776
dither_amp_v,0.024,25,0,0.7387242054411985,0.003424072265625022,0.0006263754260609917,1.6313540777070643e-05,5.200813870778926e-06,255269.3102211596
dither_amp_v,0.048,25,0,0.738767787388393,0.002618408203124978,0.0005080133748923975,1.6292072910433807e-05,4.715279321145945e-06,1019841.9808726838
